log_dir= /home/ssreekri/ECN/logs
Namespace(arch='resnet50', batch_size=128, data_dir='/home/ssreekri/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=1, include_mmd=0, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.0, lmd_ext=0.66, logs_dir='/home/ssreekri/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='duke', target='market', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   702 |    16522
  target train    | 'Unknown' |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
lmd: 0.0 lmd_ext: 0.66 include_mmd: 0 include_coral: 1
Epoch: [0][1/129], Time 5.784 (5.784), Data 2.055 (2.055), Loss 6.561 (6.561), Prec 0.78% (0.78%), s_pid_loss: 6.5606, t_un_loss: 9.4678
Epoch: [0][2/129], Time 0.426 (3.105), Data 0.071 (1.063), Loss 6.604 (6.582), Prec 1.56% (1.17%), s_pid_loss: 6.6041, t_un_loss: 9.4900
Epoch: [0][3/129], Time 0.493 (2.234), Data 0.131 (0.753), Loss 6.536 (6.567), Prec 3.12% (1.82%), s_pid_loss: 6.5356, t_un_loss: 9.5170
Epoch: [0][4/129], Time 0.490 (1.798), Data 0.132 (0.597), Loss 6.742 (6.611), Prec 6.25% (2.93%), s_pid_loss: 6.7423, t_un_loss: 9.5329
Epoch: [0][5/129], Time 0.496 (1.538), Data 0.132 (0.504), Loss 7.746 (6.838), Prec 0.78% (2.50%), s_pid_loss: 7.7462, t_un_loss: 9.5477
Epoch: [0][6/129], Time 0.488 (1.363), Data 0.132 (0.442), Loss 8.745 (7.156), Prec 3.91% (2.73%), s_pid_loss: 8.7455, t_un_loss: 9.5733
Epoch: [0][7/129], Time 0.500 (1.240), Data 0.133 (0.398), Loss 6.882 (7.117), Prec 3.12% (2.79%), s_pid_loss: 6.8822, t_un_loss: 9.5901
Epoch: [0][8/129], Time 0.497 (1.147), Data 0.133 (0.365), Loss 8.750 (7.321), Prec 2.34% (2.73%), s_pid_loss: 8.7502, t_un_loss: 9.6178
Epoch: [0][9/129], Time 0.489 (1.074), Data 0.132 (0.339), Loss 7.278 (7.316), Prec 5.47% (3.04%), s_pid_loss: 7.2777, t_un_loss: 9.6761
Epoch: [0][10/129], Time 0.513 (1.018), Data 0.132 (0.318), Loss 7.564 (7.341), Prec 1.56% (2.89%), s_pid_loss: 7.5637, t_un_loss: 9.7253
Epoch: [0][11/129], Time 0.502 (0.971), Data 0.132 (0.301), Loss 6.970 (7.307), Prec 4.69% (3.05%), s_pid_loss: 6.9702, t_un_loss: 9.7227
