log_dir= /home/ssreekri/ECN/logs
Namespace(arch='resnet50', batch_size=128, data_dir='/home/ssreekri/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=1, include_mmd=0, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.3, lmd_ext=0.33, logs_dir='/home/ssreekri/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='duke', target='market', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   702 |    16522
  target train    | 'Unknown' |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
lmd: 0.3 lmd_ext: 0.33 include_mmd: 0 include_coral: 1
Epoch: [0][1/129], Time 5.794 (5.794), Data 2.314 (2.314), Loss 7.424 (7.424), Prec 0.00% (0.00%), s_pid_loss: 6.5487, t_un_loss: 9.4678
Epoch: [0][2/129], Time 0.416 (3.105), Data 0.067 (1.190), Loss 7.380 (7.402), Prec 3.91% (1.95%), s_pid_loss: 6.4741, t_un_loss: 9.4931
Epoch: [0][3/129], Time 0.492 (2.234), Data 0.132 (0.837), Loss 7.556 (7.454), Prec 3.91% (2.60%), s_pid_loss: 6.7155, t_un_loss: 9.5183
Epoch: [0][4/129], Time 0.471 (1.793), Data 0.124 (0.659), Loss 7.631 (7.498), Prec 3.12% (2.73%), s_pid_loss: 6.8108, t_un_loss: 9.5439
Epoch: [0][5/129], Time 0.488 (1.532), Data 0.132 (0.554), Loss 7.894 (7.577), Prec 2.34% (2.66%), s_pid_loss: 7.1799, t_un_loss: 9.5617
Epoch: [0][6/129], Time 0.491 (1.359), Data 0.132 (0.483), Loss 7.750 (7.606), Prec 3.91% (2.86%), s_pid_loss: 6.9684, t_un_loss: 9.5753
Epoch: [0][7/129], Time 0.491 (1.235), Data 0.132 (0.433), Loss 7.770 (7.629), Prec 3.12% (2.90%), s_pid_loss: 6.9871, t_un_loss: 9.5963
Epoch: [0][8/129], Time 0.487 (1.141), Data 0.130 (0.395), Loss 7.709 (7.639), Prec 3.91% (3.03%), s_pid_loss: 6.8907, t_un_loss: 9.6187
Epoch: [0][9/129], Time 0.492 (1.069), Data 0.133 (0.366), Loss 7.507 (7.625), Prec 4.69% (3.21%), s_pid_loss: 6.6011, t_un_loss: 9.6223
Epoch: [0][10/129], Time 0.490 (1.011), Data 0.133 (0.343), Loss 7.441 (7.606), Prec 6.25% (3.52%), s_pid_loss: 6.4981, t_un_loss: 9.6402
Epoch: [0][11/129], Time 0.487 (0.963), Data 0.132 (0.324), Loss 7.563 (7.602), Prec 2.34% (3.41%), s_pid_loss: 6.6731, t_un_loss: 9.6410
Epoch: [0][12/129], Time 0.490 (0.924), Data 0.132 (0.308), Loss 7.160 (7.566), Prec 8.59% (3.84%), s_pid_loss: 6.0870, t_un_loss: 9.6648
Epoch: [0][13/129], Time 0.491 (0.891), Data 0.132 (0.294), Loss 7.424 (7.555), Prec 7.81% (4.15%), s_pid_loss: 6.4572, t_un_loss: 9.6793
Epoch: [0][14/129], Time 0.490 (0.862), Data 0.132 (0.283), Loss 7.339 (7.539), Prec 10.16% (4.58%), s_pid_loss: 6.3244, t_un_loss: 9.7064
Epoch: [0][15/129], Time 0.491 (0.837), Data 0.132 (0.273), Loss 7.334 (7.526), Prec 8.59% (4.84%), s_pid_loss: 6.3158, t_un_loss: 9.7096
Epoch: [0][16/129], Time 0.491 (0.816), Data 0.132 (0.264), Loss 6.986 (7.492), Prec 11.72% (5.27%), s_pid_loss: 5.8094, t_un_loss: 9.7302
Epoch: [0][17/129], Time 0.488 (0.796), Data 0.132 (0.256), Loss 7.165 (7.473), Prec 7.81% (5.42%), s_pid_loss: 6.0708, t_un_loss: 9.7191
Epoch: [0][18/129], Time 0.492 (0.779), Data 0.132 (0.249), Loss 7.160 (7.455), Prec 11.72% (5.77%), s_pid_loss: 6.0536, t_un_loss: 9.7418
Epoch: [0][19/129], Time 0.491 (0.764), Data 0.132 (0.243), Loss 7.385 (7.452), Prec 5.47% (5.76%), s_pid_loss: 6.3746, t_un_loss: 9.7423
Epoch: [0][20/129], Time 0.495 (0.751), Data 0.133 (0.237), Loss 7.118 (7.435), Prec 12.50% (6.09%), s_pid_loss: 5.9870, t_un_loss: 9.7563
Epoch: [0][21/129], Time 0.491 (0.738), Data 0.133 (0.232), Loss 6.838 (7.406), Prec 13.28% (6.44%), s_pid_loss: 5.5768, t_un_loss: 9.7793
Epoch: [0][22/129], Time 0.492 (0.727), Data 0.133 (0.228), Loss 6.647 (7.372), Prec 15.62% (6.85%), s_pid_loss: 5.2887, t_un_loss: 9.8153
Epoch: [0][23/129], Time 0.490 (0.717), Data 0.133 (0.224), Loss 6.819 (7.348), Prec 15.62% (7.24%), s_pid_loss: 5.5316, t_un_loss: 9.8227
Epoch: [0][24/129], Time 0.490 (0.707), Data 0.132 (0.220), Loss 6.948 (7.331), Prec 10.16% (7.36%), s_pid_loss: 5.7145, t_un_loss: 9.8258
Epoch: [0][25/129], Time 0.490 (0.699), Data 0.132 (0.216), Loss 6.827 (7.311), Prec 15.62% (7.69%), s_pid_loss: 5.5374, t_un_loss: 9.8368
Epoch: [0][26/129], Time 0.496 (0.691), Data 0.132 (0.213), Loss 6.717 (7.288), Prec 17.19% (8.05%), s_pid_loss: 5.3759, t_un_loss: 9.8476
Epoch: [0][27/129], Time 0.487 (0.683), Data 0.126 (0.210), Loss 6.530 (7.260), Prec 19.53% (8.48%), s_pid_loss: 5.0830, t_un_loss: 9.9061
Epoch: [0][28/129], Time 0.492 (0.677), Data 0.132 (0.207), Loss 6.493 (7.233), Prec 24.22% (9.04%), s_pid_loss: 5.0298, t_un_loss: 9.9057
Epoch: [0][29/129], Time 0.489 (0.670), Data 0.132 (0.205), Loss 6.432 (7.205), Prec 23.44% (9.54%), s_pid_loss: 4.9293, t_un_loss: 9.9372
Epoch: [0][30/129], Time 0.496 (0.664), Data 0.135 (0.202), Loss 6.279 (7.174), Prec 19.53% (9.87%), s_pid_loss: 4.6999, t_un_loss: 9.9636
Epoch: [0][31/129], Time 0.490 (0.659), Data 0.132 (0.200), Loss 6.377 (7.149), Prec 23.44% (10.31%), s_pid_loss: 4.8398, t_un_loss: 9.9644
Epoch: [0][32/129], Time 0.492 (0.654), Data 0.132 (0.198), Loss 6.161 (7.118), Prec 27.34% (10.84%), s_pid_loss: 4.5135, t_un_loss: 10.0044
Epoch: [0][33/129], Time 0.482 (0.648), Data 0.132 (0.196), Loss 6.430 (7.097), Prec 23.44% (11.22%), s_pid_loss: 4.8974, t_un_loss: 10.0071
Epoch: [0][34/129], Time 0.488 (0.644), Data 0.132 (0.194), Loss 6.267 (7.072), Prec 22.66% (11.56%), s_pid_loss: 4.6588, t_un_loss: 10.0206
Epoch: [0][35/129], Time 0.492 (0.639), Data 0.133 (0.192), Loss 6.131 (7.046), Prec 28.12% (12.03%), s_pid_loss: 4.4469, t_un_loss: 10.0606
Epoch: [0][36/129], Time 0.494 (0.635), Data 0.132 (0.191), Loss 5.996 (7.016), Prec 28.91% (12.50%), s_pid_loss: 4.2577, t_un_loss: 10.0522
Epoch: [0][37/129], Time 0.491 (0.631), Data 0.133 (0.189), Loss 6.024 (6.990), Prec 29.69% (12.96%), s_pid_loss: 4.2823, t_un_loss: 10.0872
Epoch: [0][38/129], Time 0.491 (0.628), Data 0.133 (0.188), Loss 6.272 (6.971), Prec 26.56% (13.32%), s_pid_loss: 4.6392, t_un_loss: 10.0819
Epoch: [0][39/129], Time 0.489 (0.624), Data 0.132 (0.186), Loss 6.286 (6.953), Prec 21.88% (13.54%), s_pid_loss: 4.6534, t_un_loss: 10.0941
Epoch: [0][40/129], Time 0.491 (0.621), Data 0.132 (0.185), Loss 5.969 (6.928), Prec 30.47% (13.96%), s_pid_loss: 4.1962, t_un_loss: 10.1042
Epoch: [0][41/129], Time 0.491 (0.618), Data 0.132 (0.184), Loss 6.230 (6.911), Prec 25.00% (14.23%), s_pid_loss: 4.5568, t_un_loss: 10.1337
Epoch: [0][42/129], Time 0.493 (0.615), Data 0.132 (0.182), Loss 5.953 (6.889), Prec 28.12% (14.56%), s_pid_loss: 4.1644, t_un_loss: 10.1281
Epoch: [0][43/129], Time 0.490 (0.612), Data 0.132 (0.181), Loss 6.017 (6.868), Prec 31.25% (14.95%), s_pid_loss: 4.2612, t_un_loss: 10.1140
Epoch: [0][44/129], Time 0.492 (0.609), Data 0.133 (0.180), Loss 5.846 (6.845), Prec 32.03% (15.34%), s_pid_loss: 4.0060, t_un_loss: 10.1385
Epoch: [0][45/129], Time 0.491 (0.606), Data 0.133 (0.179), Loss 5.816 (6.822), Prec 33.59% (15.75%), s_pid_loss: 3.9588, t_un_loss: 10.1494
Epoch: [0][46/129], Time 0.492 (0.604), Data 0.132 (0.178), Loss 5.693 (6.798), Prec 33.59% (16.13%), s_pid_loss: 3.7673, t_un_loss: 10.1846
Epoch: [0][47/129], Time 0.492 (0.601), Data 0.132 (0.177), Loss 6.123 (6.783), Prec 28.91% (16.41%), s_pid_loss: 4.3877, t_un_loss: 10.1717
Epoch: [0][48/129], Time 0.488 (0.599), Data 0.133 (0.176), Loss 5.816 (6.763), Prec 36.72% (16.83%), s_pid_loss: 3.9504, t_un_loss: 10.1697
Epoch: [0][49/129], Time 0.491 (0.597), Data 0.133 (0.175), Loss 5.758 (6.743), Prec 32.81% (17.16%), s_pid_loss: 3.8631, t_un_loss: 10.1786
Epoch: [0][50/129], Time 0.493 (0.595), Data 0.133 (0.174), Loss 5.669 (6.721), Prec 35.94% (17.53%), s_pid_loss: 3.7289, t_un_loss: 10.1958
Epoch: [0][51/129], Time 0.495 (0.593), Data 0.132 (0.174), Loss 5.257 (6.692), Prec 44.53% (18.06%), s_pid_loss: 3.1256, t_un_loss: 10.2289
Epoch: [0][52/129], Time 0.480 (0.591), Data 0.133 (0.173), Loss 5.884 (6.677), Prec 29.69% (18.28%), s_pid_loss: 4.0188, t_un_loss: 10.2371
Epoch: [0][53/129], Time 0.490 (0.589), Data 0.133 (0.172), Loss 5.555 (6.656), Prec 32.03% (18.54%), s_pid_loss: 3.5574, t_un_loss: 10.2145
Epoch: [0][54/129], Time 0.490 (0.587), Data 0.132 (0.171), Loss 5.720 (6.638), Prec 31.25% (18.78%), s_pid_loss: 3.7944, t_un_loss: 10.2130
Epoch: [0][55/129], Time 0.491 (0.585), Data 0.132 (0.171), Loss 5.617 (6.620), Prec 28.91% (18.96%), s_pid_loss: 3.6312, t_un_loss: 10.2501
Epoch: [0][56/129], Time 0.497 (0.584), Data 0.133 (0.170), Loss 5.491 (6.600), Prec 34.38% (19.24%), s_pid_loss: 3.4437, t_un_loss: 10.2671
Epoch: [0][57/129], Time 0.491 (0.582), Data 0.133 (0.169), Loss 5.465 (6.580), Prec 32.81% (19.48%), s_pid_loss: 3.4073, t_un_loss: 10.2677
Epoch: [0][58/129], Time 0.493 (0.581), Data 0.132 (0.169), Loss 5.135 (6.555), Prec 48.44% (19.98%), s_pid_loss: 2.9102, t_un_loss: 10.3257
Epoch: [0][59/129], Time 0.503 (0.579), Data 0.132 (0.168), Loss 5.043 (6.529), Prec 40.62% (20.33%), s_pid_loss: 2.7909, t_un_loss: 10.2970
Epoch: [0][60/129], Time 0.484 (0.578), Data 0.123 (0.167), Loss 5.323 (6.509), Prec 40.62% (20.66%), s_pid_loss: 3.1847, t_un_loss: 10.3139
Epoch: [0][61/129], Time 0.492 (0.576), Data 0.133 (0.167), Loss 5.152 (6.487), Prec 45.31% (21.07%), s_pid_loss: 2.9152, t_un_loss: 10.3708
Epoch: [0][62/129], Time 0.492 (0.575), Data 0.133 (0.166), Loss 5.327 (6.468), Prec 39.84% (21.37%), s_pid_loss: 3.1762, t_un_loss: 10.3466
Epoch: [0][63/129], Time 0.489 (0.573), Data 0.133 (0.166), Loss 5.375 (6.451), Prec 38.28% (21.64%), s_pid_loss: 3.2450, t_un_loss: 10.3441
Epoch: [0][64/129], Time 0.491 (0.572), Data 0.133 (0.165), Loss 5.247 (6.432), Prec 43.75% (21.98%), s_pid_loss: 3.0459, t_un_loss: 10.3815
Epoch: [0][65/129], Time 0.491 (0.571), Data 0.132 (0.165), Loss 5.183 (6.413), Prec 45.31% (22.34%), s_pid_loss: 2.9311, t_un_loss: 10.4369
Epoch: [0][66/129], Time 0.488 (0.570), Data 0.133 (0.164), Loss 5.636 (6.401), Prec 40.62% (22.62%), s_pid_loss: 3.5897, t_un_loss: 10.4102
Epoch: [0][67/129], Time 0.498 (0.569), Data 0.132 (0.164), Loss 5.551 (6.388), Prec 39.84% (22.88%), s_pid_loss: 3.4573, t_un_loss: 10.4373
Epoch: [0][68/129], Time 0.490 (0.567), Data 0.125 (0.163), Loss 5.413 (6.374), Prec 41.41% (23.15%), s_pid_loss: 3.2692, t_un_loss: 10.4147
Epoch: [0][69/129], Time 0.481 (0.566), Data 0.126 (0.163), Loss 5.019 (6.354), Prec 45.31% (23.47%), s_pid_loss: 2.7038, t_un_loss: 10.4205
Epoch: [0][70/129], Time 0.491 (0.565), Data 0.132 (0.162), Loss 5.108 (6.337), Prec 42.97% (23.75%), s_pid_loss: 2.8286, t_un_loss: 10.4248
Epoch: [0][71/129], Time 0.491 (0.564), Data 0.132 (0.162), Loss 4.994 (6.318), Prec 50.78% (24.13%), s_pid_loss: 2.6493, t_un_loss: 10.4656
Epoch: [0][72/129], Time 0.488 (0.563), Data 0.133 (0.161), Loss 5.165 (6.302), Prec 44.53% (24.41%), s_pid_loss: 2.8902, t_un_loss: 10.4725
Epoch: [0][73/129], Time 0.494 (0.562), Data 0.133 (0.161), Loss 5.281 (6.288), Prec 43.75% (24.68%), s_pid_loss: 3.0699, t_un_loss: 10.4400
Epoch: [0][74/129], Time 0.494 (0.561), Data 0.131 (0.160), Loss 5.288 (6.274), Prec 46.09% (24.97%), s_pid_loss: 3.0527, t_un_loss: 10.5043
Epoch: [0][75/129], Time 0.493 (0.560), Data 0.133 (0.160), Loss 5.335 (6.262), Prec 42.97% (25.21%), s_pid_loss: 3.1361, t_un_loss: 10.4671
Epoch: [0][76/129], Time 0.492 (0.559), Data 0.133 (0.160), Loss 5.018 (6.245), Prec 53.91% (25.59%), s_pid_loss: 2.6694, t_un_loss: 10.4997
Epoch: [0][77/129], Time 0.496 (0.559), Data 0.133 (0.159), Loss 5.067 (6.230), Prec 50.00% (25.90%), s_pid_loss: 2.7444, t_un_loss: 10.4854
Epoch: [0][78/129], Time 0.493 (0.558), Data 0.133 (0.159), Loss 4.836 (6.212), Prec 56.25% (26.29%), s_pid_loss: 2.4132, t_un_loss: 10.4892
Epoch: [0][79/129], Time 0.493 (0.557), Data 0.132 (0.159), Loss 5.059 (6.198), Prec 51.56% (26.61%), s_pid_loss: 2.7372, t_un_loss: 10.4778
Epoch: [0][80/129], Time 0.492 (0.556), Data 0.132 (0.158), Loss 5.388 (6.187), Prec 40.62% (26.79%), s_pid_loss: 3.1926, t_un_loss: 10.5114
Epoch: [0][81/129], Time 0.492 (0.555), Data 0.132 (0.158), Loss 4.820 (6.171), Prec 50.78% (27.08%), s_pid_loss: 2.3830, t_un_loss: 10.5079
Epoch: [0][82/129], Time 0.493 (0.555), Data 0.133 (0.158), Loss 5.276 (6.160), Prec 42.97% (27.28%), s_pid_loss: 3.0455, t_un_loss: 10.4816
Epoch: [0][83/129], Time 0.485 (0.554), Data 0.129 (0.157), Loss 5.049 (6.146), Prec 51.56% (27.57%), s_pid_loss: 2.7056, t_un_loss: 10.5165
Epoch: [0][84/129], Time 0.491 (0.553), Data 0.132 (0.157), Loss 4.892 (6.131), Prec 51.56% (27.86%), s_pid_loss: 2.4795, t_un_loss: 10.5205
